Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
6317637,3742,162,73,8677,171,172,121.027535,14.565443,920,1100,0,1,0,0,0,3,4.8,0,1,314
6304287,3167,162,73,6047,592,600,121.014101,14.553708,1111,1200,0,1,0,0,0,3,4.5,0,1,591
6300002,2892,162,75,4676,308,314,121.056831,14.581404,1671,4000,0,1,0,0,0,4,4.4,1,5,270
6318506,4700,162,75,8682,860,873,121.056475,14.585318,1126,1500,0,0,0,0,0,4,4.9,0,1,365
6314302,5515,162,75,8681,860,873,121.057508,14.58445,1122,1500,0,1,0,0,0,4,4.8,0,1,229
18189371,2068,162,75,5398,860,873,121.056314,14.583764,497,1000,0,0,0,0,0,3,4.4,1,5,336
6300781,1006,162,93,3976,861,874,120.9796667,14.53133333,134,2000,0,1,0,0,0,4,4.0,1,5,520
6301290,7170,162,93,3975,861,874,120.9793333,14.54,1681,2000,0,1,0,0,0,4,4.2,1,5,677
6300010,6037,162,93,6971,999,1052,120.98009,14.55299,796,6000,0,1,0,0,0,4,4.9,0,1,621
6314987,3805,162,94,3958,515,521,121.056532,14.572041,892,1100,0,1,0,0,0,3,4.8,0,1,532
6309903,5842,162,94,2832,515,521,121.057916,14.567689,894,800,0,0,0,0,0,3,4.9,0,1,1070
6309455,3901,162,94,1278,515,521,121.06082,14.570849,66,900,0,1,0,0,0,3,4.2,1,5,488
6318433,5842,162,106,7453,1109,1164,121.075419,14.649503,894,800,0,0,0,0,0,3,4.8,0,1,294
6310470,2755,162,111,2050,10,10,121.0335917,14.59345,892,1000,0,1,0,0,0,3,4.2,1,5,458
6314605,5933,162,111,807,591,599,121.03811,14.59889,1161,700,0,0,0,0,0,3,4.3,1,5,223
18185059,1087,162,113,3538,724,735,121.05704,14.237082,338,800,0,0,0,0,0,3,3.6,5,2,29
18182702,4598,162,113,5339,1001,1054,121.0565874,14.23767897,1098,850,0,0,0,0,0,3,4.0,1,5,72
6318213,615,162,121,3458,1037,1090,120.951589,14.101834,892,1200,0,1,0,0,0,3,4.5,0,1,211
18255654,2932,162,122,8676,84,85,121.045878,14.55436,452,600,0,0,0,0,0,2,4.5,0,1,118
6308205,7272,162,122,5404,132,133,121.04622,14.549337,345,1500,0,1,0,0,0,4,4.4,1,5,392
6315438,4413,162,122,8536,859,872,121.053725,14.545858,1670,3000,0,1,0,0,0,4,4.7,0,1,535
6310406,6579,162,122,4820,859,872,121.0534998,14.54565535,9,1800,0,1,0,0,0,4,4.5,0,1,618
6600681,1471,30,21,7330,67,67,-47.88178889,-15.76414167,852,55,1,0,0,0,0,2,3.0,2,0,6
